city_name,city_number,cloudiness,country,date,humidity,lat,lon,max_temp,win_peed
Bengkulu,1649150,99,ID,1613163118,81,-3.8004,102.2655,298.43,1.71
Hailar,2037078,67,CN,1613163344,89,49.2,119.7,253.06,5.02
Port Augusta,2063056,90,AU,1613163100,68,-32.5,137.7667,292.15,5.14
Samarai,2132606,46,PG,1613163345,73,-10.6167,150.6667,300.87,2.92
Terrace Bay,6162951,90,CA,1613163345,71,48.7834,-87.1,258.15,5.66
Severnyy,496358,90,RU,1613163345,85,50.677,36.5532,263.15,6.0
Saint Anthony,5044290,1,US,1613163116,34,45.0205,-93.218,253.71,6.17
Ascension,4315067,90,US,1613163345,87,30.2169,-90.9001,280.37,4.63
Marsá Maţrūḩ,352733,75,EG,1613163346,63,31.3525,27.2453,289.15,4.12
Codrington,2171099,40,AU,1613163119,78,-38.2667,141.9667,288.36,4.12
Āsosa,343292,0,ET,1613163025,24,10.0667,34.5333,293.71,1.88
Port Hedland,2063042,40,AU,1613163346,88,-20.3167,118.5667,298.15,1.54
Requena,2511930,0,ES,1613163346,63,39.4883,-1.1004,288.71,4.35
Karpathos,260895,0,GR,1613163346,71,35.507,27.2132,283.15,3.09
Dzhebariki-Khaya,2024626,61,RU,1613163347,83,62.2167,135.8,255.49,1.26
Vila Franca do Campo,3372472,20,PT,1613162982,88,37.7167,-25.4333,289.26,6.17
Kyren,2021031,45,RU,1613163347,77,51.6828,102.1408,249.31,0.63
Osakarovka,1520327,95,KZ,1613163347,95,50.565,72.5692,261.39,2.29
Paracatu,3455168,98,BR,1613163347,94,-17.2222,-46.8747,294.95,1.26
Polovinnoye,1494523,66,RU,1613163347,94,54.7914,65.9864,255.63,2.22
Brynmawr,2654437,27,GB,1613163348,74,51.8,-3.1833,271.48,3.13
Iqaluit,5983720,75,CA,1613163110,77,63.7506,-68.5145,253.15,5.14
Yinzhu,1792087,0,CN,1613163348,93,35.8786,119.9753,280.93,1.0
Prince Rupert,6113406,1,CA,1613163195,29,54.3161,-130.3201,273.15,4.12
Bulungu,2316259,8,CD,1613163204,70,-4.55,18.6,297.83,1.51
Sal Rei,3374235,20,CV,1613163348,77,16.1833,-22.9167,293.15,9.77
City of San Pedro,1688781,75,PH,1613163349,78,14.35,121.0167,299.15,3.6
São Félix do Xingu,3388847,97,BR,1613163349,94,-6.6447,-51.995,299.51,0.52
Mezhdurechensk,1498920,100,RU,1613163349,89,53.6942,88.0603,250.51,0.57
Laramie,5830062,75,US,1613163167,72,41.3114,-105.5911,261.15,4.12
Nador,2541479,0,MA,1613163349,55,35.174,-2.9287,290.15,8.75
Donskoye,565289,75,RU,1613163349,93,45.4552,41.9741,274.15,11.0
Carutapera,3402648,99,BR,1613163350,81,-1.195,-46.02,300.06,3.51
Macusani,3935624,100,PE,1613163350,74,-14.0833,-70.4333,279.87,2.62
Gwadar,1177446,0,PK,1613163350,71,25.1216,62.3254,293.63,2.69
Kiryat Gat,293842,0,IL,1613163180,100,31.61,34.7642,287.59,1.21
Serowe,933088,42,BW,1613163350,62,-22.3833,26.7167,295.07,1.27
Sarwār,1257093,0,IN,1613163247,32,26.0667,75.0,289.54,3.1
Kabo,2386042,0,CF,1613163109,17,7.6994,18.629,298.81,1.34
Palmas,3474574,75,BR,1613163351,88,-10.2128,-48.3603,298.15,5.14
Walvis Bay,3359638,100,NA,1613163351,83,-22.9575,14.5053,294.26,2.06
Eha Amufu,2343822,96,NG,1613163351,58,6.6592,7.7596,303.15,1.54
Constitución,3893726,12,CL,1613162891,70,-35.3333,-72.4167,292.48,5.58
Kieta,2094027,100,PG,1613163351,80,-6.2167,155.6333,299.87,2.57
Akureyri,2633274,0,IS,1613163352,74,65.6835,-18.0878,270.15,2.06
Pimentel,3693584,0,PE,1613163352,51,-6.8367,-79.9342,303.15,6.69
Bandarbeyla,64814,100,SO,1613163121,74,9.4942,50.8122,296.05,5.62
La Palma,5364022,20,US,1613163316,32,33.8464,-118.0467,293.71,5.14
Torbay,6167817,90,CA,1613162969,86,47.6666,-52.7314,273.15,12.35
Nantucket,4944903,1,US,1613163159,68,41.2835,-70.0995,269.26,3.6
Pyaozerskiy,503581,98,RU,1613163106,96,65.8333,31.1667,262.11,2.52
Khasan,2039557,48,RU,1613163177,95,42.4308,130.6434,271.59,1.99
Semey,1519422,41,KZ,1613163353,89,50.4111,80.2275,251.49,1.57
Dogondoutchi,2445553,0,NE,1613163353,14,13.6393,4.0287,299.44,4.42
São Filipe,3374210,0,CV,1613162978,64,14.8961,-24.4956,295.88,8.8
Borovoy,1508894,0,RU,1613163353,69,55.4333,86.0833,246.15,1.0
Avera,4231997,90,US,1613163143,84,33.194,-82.5271,280.15,2.06
Cabedelo,3404558,75,BR,1613163354,70,-6.9811,-34.8339,302.15,6.69
Changji,1529569,75,CN,1613163354,92,44.0167,87.3167,263.15,2.0
Sri Aman,1735799,94,MY,1613163354,100,1.2376,111.4621,296.15,0.72
Masumbwe,154654,100,TZ,1613163354,90,-3.6333,32.1833,292.04,0.86
Wum,2221053,43,CM,1613163355,24,6.3833,10.0667,293.49,1.38
Pangnirtung,6096551,20,CA,1613163092,84,66.1451,-65.7125,251.15,1.54
Māngrol,1263752,0,IN,1613163245,53,21.1167,70.1167,293.73,4.01
Camden,4501019,94,US,1613163071,49,39.7835,-74.9663,272.04,1.91
Makakilo City,5850554,1,US,1613163152,53,21.3469,-158.0858,299.15,3.09
Imeni Poliny Osipenko,2023584,100,RU,1613163356,95,52.4201,136.4853,258.67,1.06
Córdoba,3860259,40,AR,1613163267,69,-31.4135,-64.1811,297.15,5.14
Almaznyy,582447,75,RU,1613163356,86,48.0448,40.045,270.15,11.0
Teknāf,1185095,50,BD,1613163356,70,20.8624,92.3058,290.99,3.79
Timizart,2476396,21,DZ,1613163356,85,36.8,4.2667,285.1,3.34
